ze2010,libelle_ze,txcho_2003,txcho_2004,txcho_2005,txcho_2006,txcho_2007,txcho_2008,txcho_2009,txcho_2010,txcho_2011,txcho_2012,txcho_2013,densite,fronta,tx_act,tx_act_f,part_emp_pub,part_emp_ind,part_ouv,part_cad,part_act_1530,part_act_5064,part_act_peudip,part_act_tredip,tx_cre_eta,tx_act_intra,var_emp,tx_immig,f_bel,f_lux,f_all,f_su,part_etu
0050,Mont-de-Marsan,6.1,6.3,6.4,6.3,5.6,5.2,6.3,6.7,7,7.5,7.8,32.2219441,0,73.162315875,70.699259223,38.656673978,15.697863352,24.823323448,9.5459084019,20.206661895,27.082365601,19.626850296,26.45080143,25.768445306,83.62013037,103.08235925,4.7756041427,0,0,0,0,46.579431328
0051,Alençon,7.3,7.5,7.5,7.5,6.7,6.7,8.5,8,8,8.9,9.4,50.6060883,0,71.609097017,68.270497289,41.345733885,14.240937235,28.260382858,9.633816326,22.659289068,26.142195218,22.782625451,24.373284713,29.21975912,78.474746036,93.60384584,3.9992492262,0,0,0,0,49.362063989
0052,Cosne - Clamecy,7.4,7.7,7.6,7.7,7.1,6.5,8,8.8,8.7,9.1,9.4,29.522206901,0,70.212005935,65.971859456,37.435267738,16.048262239,28.224941297,8.0736848395,20.532892891,29.079581335,24.439368816,21.360204462,28.935492434,72.156539565,95.903982457,3.7786595846,0,0,0,0,43.858680882
0053,Mâcon,5.3,5.5,5.7,5.7,5.2,4.9,6.5,6.7,6.5,7.1,7.5,92.350299595,1,76.267456538,73.510050813,33.680666242,17.807618744,26.436430747,11.313666296,21.64855799,25.138567708,21.750107422,27.709584971,31.089676382,77.786145114,99.903397462,7.3662369837,0,0,0,0,44.172586613
0054,Nogent-le-Rotrou,6.4,7.2,7.4,6.8,5.7,6.2,8.2,7.6,7.5,8.3,8.7,40.43916737,0,74.905416123,71.76456549,24.545592245,38.011208725,33.372425066,8.7613090702,21.324725258,26.659958888,27.833122123,20.370813231,27.358297524,70.383609059,90.890774125,3.0931277766,0,0,0,0,42.220713617
0055,Vallée de la Bresle - Vimeu,7.8,8.2,8.2,8,7.2,7.4,10.7,9.7,9.3,10,10.5,87.996732371,0,70.381172132,65.380622691,21.866721011,45.84607024,41.466201895,6.4183566851,22.339458875,24.757611971,32.120466784,17.094183943,28.900637115,76.722317798,95.41434568,0.9308555614,0,0,0,0,40.975464845
0056,Roissy - Sud Picardie,9.2,9.7,9.7,9.4,8.6,7.7,9.3,9.7,9.7,10.3,10.8,511.91794865,0,73.752109594,69.513695477,26.317576973,9.7162354549,21.180365459,14.822679443,24.254126366,23.263708742,28.128395749,28.410550177,51.783410887,50.390366325,98.04841126,23.383919842,0,0,0,0,49.928788077
0057,Brive-la-Gaillarde,6.1,6.4,6.4,6.4,5.8,5.5,7.2,7.1,7.3,8.4,9.1,55.794186329,0,73.76500503,71.312168271,30.010583877,20.970188746,24.975605094,10.544044141,19.190484263,28.169855301,18.364730503,27.91492218,29.676169887,82.328506736,96.672212978,5.5980974362,0,0,0,0,47.813118888
0059,Avignon,9.3,9.4,9.7,9.8,9.1,8.4,10,10.6,10.9,11.6,12.1,205.17362623,1,71.97854321,67.560714157,31.819327202,12.213052791,22.209539413,13.014307935,22.156975927,24.997431901,23.546915174,30.268584458,47.523683477,78.725383273,102.74243783,10.5377208,0,0,0,0,48.83614212
0060,Saint-Étienne,8.2,8.5,8.5,8.4,7.5,7,9.2,8.9,8.8,9.4,9.9,141.85461009,1,71.658291967,67.543115175,34.094648915,21.311689001,26.287575514,11.682656391,23.313534209,24.630389497,20.135650207,29.93623314,37.806982123,84.76387923,98.681573715,7.8901647216,0,0,0,0,51.454226255
0061,Toulouse,8.7,8.9,8.9,8.8,7.9,7.2,8.6,9,8.9,9.5,10.1,155.18259808,0,74.400016918,71.296529311,30.817009258,14.120576641,15.714533356,23.553933796,23.947496717,22.497227093,14.622283976,44.674786454,46.361963608,87.838293398,106.26464281,9.6924579322,0,0,0,0,57.300314034
1101,Paris,8.7,9.1,8.8,8.4,7.6,6.7,7.9,8.2,8,8.3,8.7,9053.9119543,0,77.607125963,74.73491944,23.812702387,6.6626448099,10.464738659,36.352826618,23.914131394,22.752649051,18.237810033,53.206942855,45.200694619,80.111753604,103.12015172,24.313307035,0,0,0,0,56.747967246
1102,Marne-la-Vallée,6.8,7.3,7.2,6.8,6.1,5.4,6.6,6.9,6.9,7.3,7.8,1043.1195628,0,78.337370279,75.680375528,22.857722695,9.1205553651,14.162126557,22.29278865,24.780396511,22.08057492,19.86028084,39.515026335,52.811357281,37.212854652,105.07078908,22.852249086,0,0,0,0,51.028803481
1103,Coulommiers,6.5,6.8,6.7,6.6,5.7,5.1,6.6,6.7,6.8,7.2,7.5,96.07646639,0,74.819371334,70.941908656,34.184557439,13.943502825,23.762334406,11.147782515,23.227275537,23.626267617,25.272742844,23.063785818,43.089761856,42.766981204,106.60750146,7.7860724895,0,0,0,0,45.191308686
1104,Meaux,6.8,7.5,7.7,7.5,6.8,6.2,7.9,8.1,8,8.6,9.4,211.05103272,0,75.707464091,72.796991995,38.779845356,11.167757102,21.310281549,13.011959814,24.373067762,23.602215786,25.475313055,26.632736686,45.477959386,43.360558627,95.60927479,13.229387611,0,0,0,0,45.775127907
1105,Melun,6.6,7.3,7.3,7,5.9,5.4,6.7,7,7,7.6,8.1,208.66123272,0,75.667663103,72.572834917,38.451374887,13.005877054,18.238960367,17.682210393,23.54630659,23.882009166,20.846808272,33.057698961,48.361219344,49.849295112,100.20142993,14.589731046,0,0,0,0,50.180260876
1106,Montereau-Fault-Yonne,9.6,9.6,9.8,9.9,8.7,7.6,9.5,9.4,9.6,10.4,11.2,135.08307169,0,70.992247535,66.119098075,35.623732252,21.315077755,25.660867561,9.3245023473,25.504422015,22.204776127,26.925466017,22.443259612,44.149132521,46.750956838,102.27272727,15.420321999,0,0,0,0,47.624989355
1107,Nemours,5.4,5.7,6.1,6.1,5.7,5.2,6.7,7,7.1,7.6,7.9,88.143438637,0,73.696076214,70.250091394,33.699359454,20.830213793,24.047333555,11.647511805,21.223013552,25.587362592,26.00460997,23.284196115,42.307692308,48.102328871,91.532361218,11.982370675,0,0,0,0,49.646978639
1108,Provins,8.5,9.5,9.4,9.4,8.2,7.5,8.8,8.9,8.3,8.5,9.2,59.219196817,0,73.720376568,69.811151371,43.196248901,14.281527791,26.421277586,9.3370276994,23.251275239,24.857505095,28.138645952,21.671747673,37.682539683,50.686928459,110.90264569,10.302596991,0,0,0,0,46.9792838
1109,Houdan,4.8,5,4.8,4.5,3.8,3.4,4.3,4.4,4.4,4.6,4.9,158.60795097,0,75.469124358,72.174036101,36.121836122,9.6417846418,10.511995388,30.862652177,16.718321118,29.123755098,14.294090741,44.607325596,43.963916158,27.997798191,95.582569985,7.3993422576,0,0,0,0,58.176322583
1110,Mantes-la-Jolie,8.8,,9,9,8.6,7.9,9.7,9.9,9.7,10.6,11.1,293.48928628,0,74.009497007,69.462879375,33.910576005,19.115307097,21.702677294,15.241698854,24.560637375,22.649326592,24.376526187,27.741488313,51.079965441,43.586583021,96.018610834,16.932512317,0,0,0,0,48.345828858
1111,Poissy,7.4,8,7.9,7.6,7.1,6.3,7.6,7.9,7.7,8.1,8.5,902.96890598,0,76.022601976,72.385337705,27.397801516,29.077003401,16.114788761,24.67092118,22.907260566,24.572476135,20.7165884,39.169864009,51.086887635,37.396028806,96.92598317,18.354922353,0,0,0,0,51.666027287
1112,Rambouillet,4.9,5.3,5.4,5.2,4.3,3.8,5,5.4,5.2,5.5,5.7,131.74222157,0,75.440576296,71.359877201,31.223832528,14.820182501,12.601794715,27.443797326,19.919692946,27.051942477,16.708310864,42.6926191,44.414029085,35.521948598,94.942409284,8.7916893242,0,0,0,0,54.506859819
1113,Plaisir,5.6,6.1,6,5.7,5,4.3,5.4,5.8,5.6,5.9,6.2,456.25420875,0,77.625194922,74.077246576,24.168334505,18.423757235,11.437417608,26.591163772,22.896769155,22.566538543,16.903104624,43.195168116,50.206327373,27.361080909,98.35978836,13.344036642,0,0,0,0,51.948499847
1114,Étampes,6.2,6.3,6.3,6.1,5.2,4.9,6.1,6.6,6.5,6.9,7.4,118.70216643,0,75.38990356,71.848249264,42.78492353,7.5766301913,21.169918474,15.216252191,22.54012874,23.819808592,23.745759261,29.093524504,41.904323827,41.185248475,98.90073831,12.776490904,0,0,0,0,47.859583225
1115,Évry,7.5,8,7.9,7.4,6.4,5.9,7.4,7.7,7.6,8.2,8.8,561.50893177,0,74.055199073,71.598527018,34.142748008,11.052213093,18.809446183,17.415533523,23.56707936,22.836872511,23.455131866,32.717140743,53.222425405,45.020492201,100.7513705,21.163101375,0,0,0,0,49.543625314
